date,no2_mol_m2
02-11-2024,2.27E-04
03-11-2024,3.70E-04
04-11-2024,2.20E-04
05-11-2024,2.07E-04
06-11-2024,3.50E-04
07-11-2024,2.41E-04
08-11-2024,1.41E-04
09-11-2024,1.41E-04
10-11-2024,1.94E-04
11-11-2024,2.95E-04
12-11-2024,1.53E-04
13-11-2024,1.71E-04
14-11-2024,2.33E-04
15-11-2024,1.39E-04
16-11-2024,1.52E-04
17-11-2024,1.09E-04
18-11-2024,9.67E-05
19-11-2024,1.36E-04
20-11-2024,1.78E-04
21-11-2024,1.77E-04
22-11-2024,1.95E-04
23-11-2024,2.45E-04
24-11-2024,1.32E-04
25-11-2024,1.13E-04
26-11-2024,1.19E-04
27-11-2024,1.52E-04
28-11-2024,1.73E-04
29-11-2024,3.68E-04
30-11-2024,2.01E-04
01-12-2024,1.45E-04
02-12-2024,1.92E-04
03-12-2024,1.47E-04
04-12-2024,1.29E-04
05-12-2024,1.86E-04
06-12-2024,1.65E-04
07-12-2024,2.67E-04
08-12-2024,1.05E-04
09-12-2024,2.82E-04
10-12-2024,1.70E-04
11-12-2024,1.62E-04
12-12-2024,1.77E-04
13-12-2024,1.19E-04
14-12-2024,1.60E-04
15-12-2024,2.95E-04
16-12-2024,3.74E-04
17-12-2024,2.31E-04
18-12-2024,3.64E-04
19-12-2024,1.29E-04
20-12-2024,2.07E-04
21-12-2024,2.07E-04
22-12-2024,2.84E-04
23-12-2024,1.55E-04
24-12-2024,1.43E-04
25-12-2024,2.08E-04
26-12-2024,3.06E-04
27-12-2024,
28-12-2024,1.26E-04
29-12-2024,7.74E-05
30-12-2024,1.23E-04
